country,city,perform,latitude,longitude,ip
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.14
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.14
Germany,None,Found,51.2993,9.491,185.220.101.200
Germany,None,Ban,51.2993,9.491,185.220.101.200
Norway,Oslo,Found,59.8457,10.7823,217.170.206.146
Norway,Oslo,Ban,59.8457,10.7823,217.170.206.146
United States,None,already banned,37.751,-97.822,23.129.64.192
United States,Phoenix,Found,33.4532,-112.0748,104.244.75.153
United States,Phoenix,Ban,33.4532,-112.0748,104.244.75.153
United States,Phoenix,already banned,33.4532,-112.0748,104.244.75.153
Denmark,None,Found,55.7123,12.0564,185.129.62.62
Denmark,None,Ban,55.7123,12.0564,185.129.62.62
France,None,Unban,48.8582,2.3387,51.83.139.55
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.26
Germany,None,Unban,51.2993,9.491,51.75.144.43
Luxembourg,Roost,Unban,49.7867,6.0961,104.244.79.241
Germany,None,Unban,51.2993,9.491,185.220.102.246
Germany,None,Unban,51.2993,9.491,185.220.102.242
Norway,None,Unban,59.9452,10.7559,217.170.205.14
Germany,None,Unban,51.2993,9.491,185.220.101.206
India,New Delhi,Unban,28.6327,77.2198,144.168.164.26
Germany,None,Unban,51.2993,9.491,185.220.101.203
France,Montrouge,Unban,48.8175,2.3167,95.128.43.164
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.14
Germany,None,Unban,51.2993,9.491,185.220.101.200
Norway,Oslo,Unban,59.8457,10.7823,217.170.206.146
United States,Phoenix,Unban,33.4532,-112.0748,104.244.75.153
Denmark,None,Unban,55.7123,12.0564,185.129.62.62
Germany,None,Found,51.2993,9.491,185.220.101.216
Germany,None,Ban,51.2993,9.491,185.220.101.216
Germany,None,already banned,51.2993,9.491,185.220.101.216
Germany,None,Found,51.2993,9.491,185.220.102.243
Germany,None,Ban,51.2993,9.491,185.220.102.243
Germany,None,Unban,51.2993,9.491,185.220.101.216
Germany,None,Unban,51.2993,9.491,185.220.102.243
Germany,None,Found,51.2993,9.491,185.220.102.6
Germany,None,Ban,51.2993,9.491,185.220.102.6
Germany,None,already banned,51.2993,9.491,185.220.102.6
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.22
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.22
Germany,None,Unban,51.2993,9.491,185.220.102.6
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.22
France,None,Found,48.8582,2.3387,51.68.139.151
France,None,Ban,48.8582,2.3387,51.68.139.151
France,None,Unban,48.8582,2.3387,51.68.139.151
Germany,None,Found,51.2993,9.491,185.220.102.240
Germany,None,Ban,51.2993,9.491,185.220.102.240
United States,None,Found,37.751,-97.822,207.244.70.35
United States,None,Ban,37.751,-97.822,207.244.70.35
Germany,None,already banned,51.2993,9.491,185.220.102.247
United States,None,Found,37.751,-97.822,23.129.64.188
United States,None,Ban,37.751,-97.822,23.129.64.188
United States,None,Found,37.751,-97.822,23.129.64.182
United States,None,Ban,37.751,-97.822,23.129.64.182
United States,New York,Found,40.7308,-73.9975,209.95.51.11
United States,New York,Ban,40.7308,-73.9975,209.95.51.11
Denmark,None,Found,55.7123,12.0564,185.38.175.72
Denmark,None,Ban,55.7123,12.0564,185.38.175.72
Germany,None,Found,51.2993,9.491,185.220.103.6
Germany,None,Ban,51.2993,9.491,185.220.103.6
United States,Phoenix,Found,33.4532,-112.0748,104.244.75.157
United States,Phoenix,Ban,33.4532,-112.0748,104.244.75.157
Germany,None,Found,51.2993,9.491,185.220.102.248
Germany,None,Ban,51.2993,9.491,185.220.102.248
United States,Bay City,Found,43.6077,-83.9498,64.113.32.29
United States,Bay City,Ban,43.6077,-83.9498,64.113.32.29
Germany,None,Unban,51.2993,9.491,185.220.102.240
United States,None,Unban,37.751,-97.822,207.244.70.35
United States,None,Unban,37.751,-97.822,23.129.64.188
United States,None,Unban,37.751,-97.822,23.129.64.182
United States,New York,Unban,40.7308,-73.9975,209.95.51.11
Denmark,None,Unban,55.7123,12.0564,185.38.175.72
Germany,None,Unban,51.2993,9.491,185.220.103.6
United States,Phoenix,Unban,33.4532,-112.0748,104.244.75.157
Germany,None,Unban,51.2993,9.491,185.220.102.248
United States,Bay City,Unban,43.6077,-83.9498,64.113.32.29
United States,None,Found,37.751,-97.822,23.129.64.209
United States,None,Ban,37.751,-97.822,23.129.64.209
United States,None,Unban,37.751,-97.822,23.129.64.209
Canada,Montreal,Found,45.4995,-73.5848,158.69.35.227
Canada,Montreal,Ban,45.4995,-73.5848,158.69.35.227
United States,None,already banned,37.751,-97.822,23.129.64.208
United States,None,Found,37.751,-97.822,23.129.64.196
United States,None,Ban,37.751,-97.822,23.129.64.196
Netherlands,s-Hertogenbosch,already banned,51.6906,5.2755,77.247.181.162
Canada,Montreal,Unban,45.4995,-73.5848,158.69.35.227
United States,None,Unban,37.751,-97.822,23.129.64.196
France,None,Found,48.8582,2.3387,54.38.81.231
France,None,Ban,48.8582,2.3387,54.38.81.231
Ukraine,None,Found,50.4522,30.5287,193.218.118.140
Ukraine,None,Ban,50.4522,30.5287,193.218.118.140
Romania,Bucharest,Found,44.4333,26.1,185.100.87.206
Romania,Bucharest,Ban,44.4333,26.1,185.100.87.206
United States,None,Found,37.751,-97.822,162.247.74.204
United States,None,Ban,37.751,-97.822,162.247.74.204
Sweden,Falun,Found,60.6036,15.626,46.59.65.88
Sweden,Falun,Ban,60.6036,15.626,46.59.65.88
Sweden,Falun,already banned,60.6036,15.626,46.59.65.88
Germany,None,Found,51.2993,9.491,185.220.103.7
Germany,None,Ban,51.2993,9.491,185.220.103.7
United States,Las Vegas,Found,36.1685,-115.1164,209.141.41.103
United States,Las Vegas,Ban,36.1685,-115.1164,209.141.41.103
United States,None,Found,37.751,-97.822,23.129.64.215
United States,None,Ban,37.751,-97.822,23.129.64.215
United States,None,Found,37.751,-97.822,23.129.64.210
United States,None,Ban,37.751,-97.822,23.129.64.210
Sweden,None,Found,59.3247,18.056,171.25.193.77
Sweden,None,Ban,59.3247,18.056,171.25.193.77
Sweden,None,already banned,59.3247,18.056,171.25.193.77
Germany,None,Found,51.2993,9.491,185.220.102.250
Germany,None,Ban,51.2993,9.491,185.220.102.250
United States,None,Found,37.751,-97.822,23.129.64.217
United States,None,Ban,37.751,-97.822,23.129.64.217
Canada,Montreal,already banned,45.4995,-73.5848,158.69.35.227
France,None,Unban,48.8582,2.3387,54.38.81.231
Ukraine,None,Unban,50.4522,30.5287,193.218.118.140
Romania,Bucharest,Unban,44.4333,26.1,185.100.87.206
United States,None,Unban,37.751,-97.822,162.247.74.204
Sweden,Falun,Unban,60.6036,15.626,46.59.65.88
Germany,None,Unban,51.2993,9.491,185.220.103.7
United States,Las Vegas,Unban,36.1685,-115.1164,209.141.41.103
United States,None,Unban,37.751,-97.822,23.129.64.215
United States,None,Unban,37.751,-97.822,23.129.64.210
Sweden,None,Unban,59.3247,18.056,171.25.193.77
Germany,None,Unban,51.2993,9.491,185.220.102.250
United States,None,Unban,37.751,-97.822,23.129.64.217
