date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-10-04 09:42:48.825,filter,519,INFO,sshd,Found,141.98.10.209,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 09:42:48.829,filter,519,INFO,sshd,Found,141.98.10.209,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 09:42:48.983,actions,519,NOTICE,sshd,Ban,141.98.10.209,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 09:42:50.810,filter,519,INFO,sshd,Found,141.98.10.209,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:01:46.867,actions,519,NOTICE,sshd,Unban,195.54.160.180, None, None, None, None, None,7,None,EU,Europe,RU,Russia,False,55.7386,37.6068,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:12:27.078,actions,519,NOTICE,sshd,Unban,141.98.9.32,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:12:31.104,actions,519,NOTICE,sshd,Unban,141.98.9.33,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:12:35.128,actions,519,NOTICE,sshd,Unban,141.98.9.34,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:12:37.147,actions,519,NOTICE,sshd,Unban,141.98.9.35,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:12:43.172,actions,519,NOTICE,sshd,Unban,141.98.9.36,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:12:47.198,actions,519,NOTICE,sshd,Unban,141.98.9.31,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
