date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-09-07 00:04:23.124,filter,519,INFO,sshd,Found,194.204.194.11,AS6713,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,iam.ma,194.204.192.0/18,hosting,212,Rabat,AF,Africa,MA,Morocco,False,34.0123,-6.8484,None,Rabat-Sale-Kenitra,4,False,False,False,False,False,False,False,200
2020-09-07 01:35:35.081,filter,519,INFO,sshd,Found,197.5.145.106,AS5438,Agence Tunisienne dInternet,ati.tn,197.5.128.0/18,isp,216,None,AF,Africa,TN,Tunisia,False,34.0,9.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-07 01:35:35.082,filter,519,INFO,sshd,Found,197.5.145.106,AS5438,Agence Tunisienne dInternet,ati.tn,197.5.128.0/18,isp,216,None,AF,Africa,TN,Tunisia,False,34.0,9.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-07 01:35:35.108,actions,519,NOTICE,sshd,Ban,197.5.145.106,AS5438,Agence Tunisienne dInternet,ati.tn,197.5.128.0/18,isp,216,None,AF,Africa,TN,Tunisia,False,34.0,9.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-07 01:35:36.704,filter,519,INFO,sshd,Found,197.5.145.106,AS5438,Agence Tunisienne dInternet,ati.tn,197.5.128.0/18,isp,216,None,AF,Africa,TN,Tunisia,False,34.0,9.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-07 03:04:22.538,actions,519,NOTICE,sshd,Unban,194.204.194.11,AS6713,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,iam.ma,194.204.192.0/18,hosting,212,Rabat,AF,Africa,MA,Morocco,False,34.0123,-6.8484,None,Rabat-Sale-Kenitra,4,False,False,False,False,False,False,False,200
2020-09-07 04:35:37.779,actions,519,NOTICE,sshd,Unban,197.5.145.106,AS5438,Agence Tunisienne dInternet,ati.tn,197.5.128.0/18,isp,216,None,AF,Africa,TN,Tunisia,False,34.0,9.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-08 17:14:29.733,filter,519,INFO,sshd,Found,197.247.253.166,AS36925,MEDITELECOM,orange.ma,197.247.192.0/18,isp,212,Meknes,AF,Africa,MA,Morocco,False,33.8916,-5.5396,None,Fes-Meknes,3,False,False,False,False,False,False,False,200
2020-09-08 17:14:30.001,actions,519,NOTICE,sshd,Ban,197.247.253.166,AS36925,MEDITELECOM,orange.ma,197.247.192.0/18,isp,212,Meknes,AF,Africa,MA,Morocco,False,33.8916,-5.5396,None,Fes-Meknes,3,False,False,False,False,False,False,False,200
2020-09-08 17:14:31.550,filter,519,INFO,sshd,Found,197.247.253.166,AS36925,MEDITELECOM,orange.ma,197.247.192.0/18,isp,212,Meknes,AF,Africa,MA,Morocco,False,33.8916,-5.5396,None,Fes-Meknes,3,False,False,False,False,False,False,False,200
2020-09-08 20:14:31.250,actions,519,NOTICE,sshd,Unban,197.247.253.166,AS36925,MEDITELECOM,orange.ma,197.247.192.0/18,isp,212,Meknes,AF,Africa,MA,Morocco,False,33.8916,-5.5396,None,Fes-Meknes,3,False,False,False,False,False,False,False,200
