latitude,longitude,country
-21.1784,-43.023,166
-34.6033,-58.3816,169
-21.1458,-42.6008,166
37.5469,127.0841,125
48.8,132.95,185
10.9685,-74.7813,167
-23.4497,-49.7014,166
23.0833,114.4,124
42.696000000000005,23.331999999999997,191
52.3824,4.8995,182
37.3417,-121.9753,211
36.7631,3.0506,226
-23.5475,-46.6361,166
38.9122,121.6022,124
17.384,78.4564,128
20.6279,73.0954,128
-14.8637,-40.8409,166
56.3287,44.001999999999995,185
35.0,38.0,135
43.4631,11.8783,176
41.7806,123.4312,124
19.4321,-99.0949,214
45.0355,38.975,185
18.4833,-69.8667,215
38.6583,-77.2481,211
26.0614,119.3061,124
34.0123,-6.8484,227
-28.7429,-53.1178,166
37.6016,15.1446,176
37.7886,14.8338,176
5.9558,116.0368,136
42.028999999999996,13.4264,176
41.9032,-87.6383,211
34.0,9.0,228
22.4333,114.0333,134
22.4,113.9833,134
35.1003,129.0442,125
39.1638,-84.4517,211
37.626,126.7152,125
47.9097,33.3804,179
34.8736,128.3971,125
22.3167,114.1833,134
-24.7833,-65.4167,169
34.9165,33.6272,192
59.3333,18.05,187
35.8723,128.5924,125
39.018,-77.539,211
-22.4498,-46.9897,166
-37.8296,145.1063,250
49.8094,30.1121,179
22.3333,114.25,134
10.3498,107.06700000000001,133
-40.3167,-72.9667,168
-26.9981,-48.6187,166
43.7687,-79.4109,210
35.5335,129.3173,125
51.9434,7.1724,177
-27.4732,153.0215,250
24.0,54.0,137
38.4681,106.2731,124
47.2361,39.7189,185
42.4125,-71.0034,211
37.4562,126.7288,125
40.6715,-74.2081,211
8.9948,-79.523,212
56.8777,14.8091,187
37.8897,127.736,125
22.3167,114.2167,134
58.3013,14.2878,187
51.7847,55.0986,185
55.7386,37.6068,185
37.5177,126.8479,125
49.5167,4.3667,175
41.871,-87.6289,211
22.3667,114.1,134
51.0857,-114.0234,210
34.8659,128.6263,125
37.4183,126.7184,125
37.6564,126.835,125
35.8219,127.1489,125
37.41,127.2572,125
52.6958,6.1956,182
6.2529,-75.5646,167
-22.8305,-43.2192,166
51.7377,19.4749,178
28.55,115.9333,124
31.9014,35.1999,138
38.1321,13.3356,176
25.04,121.4733,127
-23.0716,-45.4974,166
-19.8993,-43.957,166
41.8447,60.3919,139
-34.8576,-56.1702,170
52.5241,5.7319,182
17.0103,103.1141,131
19.4371,-99.0111,214
52.1828,20.9846,178
53.3331,-6.2489,193
45.7601,13.0005,176
42.0096,-4.5241,184
27.4865,-99.5462,214
40.9451,-74.2531,211
34.0584,-118.27799999999999,211
43.6319,-79.3716,210
22.2968,114.1811,134
19.0748,72.8856,128
38.7095,-78.1539,211
35.698,51.4115,140
-26.2659,-48.9987,166
-6.1741,106.8296,132
24.8976,90.5932,141
47.11,39.41,185
57.0006,40.972,185
23.0287,113.1341,124
-19.5811,-42.6495,166
-25.9235,-50.4807,166
-28.721,-49.3872,166
46.2168,5.5596,175
45.0705,7.6868,176
-1.2314,-78.5834,165
29.745,-95.7326,211
28.98,77.7064,128
37.7353,-122.3732,211
39.1423,117.1726,124
39.9906,116.2887,124
55.5086,11.3007,194
36.6534,-78.375,211
47.7946,-122.2193,211
37.4945,126.8502,125
19.436,-99.1446,214
-6.9217,107.6071,132
44.1391,12.2431,176
29.4221,-98.4926,211
34.0544,-118.244,211
-27.2302,-52.0048,166
33.8916,-5.5396,227
-27.6145,-48.5012,166
59.433,24.7323,195
50.4333,30.5167,179
48.8607,2.3281,175
-34.75,-62.9667,169
14.7603,120.9492,126
34.6836,112.4536,124
39.1177,117.2056,124
50.6974,3.178,175
51.5164,-0.09300000000000001,183
8.0,38.0,229
21.0313,105.8516,133
2.4382,-76.6132,167
48.8579,2.3491,175
48.7954,2.4947,175
42.3649,-71.0987,211
55.7123,12.0564,194
49.4958,5.9806,196
-22.9035,-47.0565,166
-33.5933,-71.6217,168
-6.1770000000000005,106.6284,132
40.4586,-3.4719,184
40.0,45.0,142
49.405,11.1617,177
22.2793,113.5683,124
-11.8667,-77.0833,171
-36.6006,-72.1174,168
10.9184,-74.7646,167
35.2719,128.8402,125
51.047,3.7206,189
19.8968,99.8309,131
41.3171,69.2494,139
25.2633,55.3087,137
57.1626,-2.1518,183
35.69,139.69,129
8.0,-66.0,172
41.2619,-95.8608,211
48.7994,2.3367,175
56.9667,21.9833,197
41.0,75.0,143
45.3819,11.0447,176
-19.9644,-44.1969,166
-33.439,-70.6432,168
45.5063,-73.5794,210
59.8944,30.2642,185
37.4386,127.1378,125
38.4015,-122.8485,211
46.0679,11.1211,176
51.7,94.45,185
45.6297,2.4642,175
-1.2841,36.8155,230
41.1121,16.6964,176
23.7701,90.3628,141
-12.2667,-38.9667,166
45.5356,10.2147,176
44.4333,26.1,186
52.2488,21.0024,178
-25.5039,-49.2908,166
54.4645,18.4943,178
49.3164,-123.0572,210
43.629,6.2255,175
35.2753,128.6515,125
3.5394,-76.3036,167
