
network_provider,asn,domain,route,type,ip,datetime
China Networks Inter-Exchange,1,None,118.244.192.0/19,isp,118.244.206.195,2020-09-06 00:01:45.425
China Networks Inter-Exchange,1,None,118.244.192.0/19,isp,118.244.206.195,2020-09-06 00:01:45.674
China Networks Inter-Exchange,1,None,118.244.192.0/19,isp,118.244.206.195,2020-09-06 00:01:47.577
Otecel S.A.,2,telefonica.com,200.7.208.0/20,isp,200.7.217.185,2020-09-06 00:02:53.853
None,3,None,175.112.0.0/13,isp,175.118.152.100,2020-09-06 00:03:31.737
None,3,None,175.112.0.0/13,isp,175.118.152.100,2020-09-06 00:03:31.739
None,3,None,175.112.0.0/13,isp,175.118.152.100,2020-09-06 00:03:31.974
None,3,None,175.112.0.0/13,isp,175.118.152.100,2020-09-06 00:03:32.808
Free SAS,4,sas.com,82.64.0.0/14,isp,82.64.32.76,2020-09-06 00:04:08.075
