route_id,route,
268,197.5.128.0/18,
269,180.97.0.0/18,
270,122.152.220.0/23,
271,223.17.128.0/18,
272,42.98.112.0/20,
273,35.244.0.0/14,
274,119.246.128.0/18,
275,61.72.0.0/13,
276,74.83.128.0/17,
277,125.136.0.0/13,
278,91.237.120.0/24,
279,112.199.192.0/18,
280,123.248.132.0/22,
281,1.36.96.0/19,
282,190.220.214.0/24,
283,46.21.57.0/24,
284,213.100.192.0/19,
285,218.144.0.0/13,
286,132.145.176.0/20,
287,177.55.133.0/24,
288,144.132.0.0/14,
289,1.160.0.0/16,
290,191.36.129.0/24,
291,178.54.128.0/17,
292,116.49.160.0/19,
293,14.183.32.0/20,
294,179.57.40.0/21,
295,191.186.192.0/20,
296,99.241.0.0/17,
297,177.141.32.0/19,
298,112.160.0.0/13,
299,91.0.0.0/10,
300,138.68.96.0/20,
301,106.37.0.0/16,
302,175.36.0.0/16,
303,165.227.96.0/20,
304,58.249.55.0/24,
305,42.63.0.0/16,
306,86.96.192.0/19,
307,159.65.0.0/20,
308,58.102.0.0/16,
309,193.70.0.0/17,
310,119.60.0.0/16,
311,178.128.208.0/20,
312,120.203.0.0/16,
313,94.180.56.0/22,
314,146.115.0.0/16,
315,175.200.0.0/13,
316,111.222.0.0/16,
317,112.118.128.0/19,
318,100.1.0.0/16,
319,190.218.64.0/18,
320,213.112.0.0/14,
321,220.80.0.0/13,
322,223.16.192.0/18,
323,219.77.128.0/19,
324,112.224.0.0/11,
325,83.233.0.0/16,
326,92.49.128.0/18,
327,31.130.120.0/21,
328,34.92.0.0/14,
329,118.32.0.0/13,
330,86.228.0.0/16,
331,192.240.102.0/23,
332,112.118.96.0/19,
333,219.73.32.0/19,
334,120.204.0.0/16,
335,223.19.0.0/18,
336,75.156.128.0/18,
337,59.0.0.0/13,
338,119.200.0.0/13,
339,180.228.0.0/14,
340,121.126.0.0/16,
341,115.144.0.0/16,
342,217.182.0.0/16,
343,115.159.52.0/23,
344,117.50.32.0/19,
345,61.153.0.0/16,
346,49.232.160.0/20,
347,134.175.128.0/20,
348,49.233.32.0/20,
349,125.128.0.0/13,
350,152.136.16.0/20,
351,106.53.224.0/20,
352,185.162.235.0/24,
353,106.13.32.0/20,
354,200.116.0.0/16,
355,195.222.160.0/20,
356,187.12.128.0/18,
357,83.8.0.0/13,
358,188.166.144.0/20,
359,111.72.0.0/13,
360,217.21.0.0/23,
361,194.61.24.0/23,
362,106.13.160.0/19,
363,2.232.128.0/17,
364,118.165.0.0/16,
365,177.138.0.0/15,
366,183.104.0.0/13,
367,124.160.0.0/16,
368,188.166.208.0/20,
369,165.22.112.0/20,
370,186.206.128.0/17,
371,213.230.64.0/18,
372,190.0.144.0/20,
373,223.207.0.0/17,
374,187.174.64.0/23,
375,104.248.144.0/20,
376,80.211.240.0/21,
377,180.76.188.0/23,
378,218.245.0.0/21,
379,220.116.0.0/14,
380,13.64.0.0/11,
381,142.93.112.0/20,
382,182.61.64.0/18,
383,171.232.248.0/21,
384,156.54.172.0/24,
385,118.24.92.0/22,
386,170.253.16.0/20,
387,120.132.0.0/19,
388,148.240.70.0/23,
389,58.48.0.0/13,
390,69.112.0.0/13,
391,119.29.158.0/23,
392,138.197.176.0/20,
393,67.230.160.0/20,
394,54.39.0.0/16,
395,139.155.64.0/20,
396,115.159.152.0/23,
397,61.174.0.0/15,
398,119.29.240.0/23,
399,202.155.228.0/23,
400,101.36.128.0/17,
401,58.208.0.0/12,
402,212.64.80.0/20,
403,52.160.0.0/11,
404,37.152.160.0/19,
405,189.35.88.0/21,
406,14.16.0.0/12,
407,111.95.128.0/19,
408,188.226.128.0/17,
409,120.92.88.0/21,
410,139.59.80.0/20,
411,103.210.57.0/24,
412,94.159.30.0/23,
413,83.221.192.0/19,
414,81.162.16.0/21,
415,51.254.0.0/15,
416,125.88.168.0/21,
417,170.106.2.0/23,
418,183.237.0.0/16,
419,118.24.36.0/22,
420,118.24.104.0/22,
421,177.152.124.0/23,
422,140.227.0.0/16,
423,165.22.48.0/20,
424,182.61.48.0/23,
425,201.76.4.0/24,
426,119.192.0.0/13,
427,112.30.0.0/16,
428,165.22.0.0/20,
429,107.175.144.0/21,
430,80.236.0.0/18,
431,80.182.0.0/16,
432,190.152.182.0/23,
433,50.128.0.0/9,
434,45.115.60.0/22,
435,107.170.192.0/18,
436,144.34.192.0/19,
437,111.160.0.0/13,
438,147.135.128.0/17,
439,117.158.0.0/16,
440,212.98.64.0/18,
441,167.71.224.0/20,
442,210.75.240.0/23,
443,59.125.128.0/17,
444,49.233.48.0/20,
445,50.32.0.0/12,
446,116.213.52.0/24,
447,110.45.128.0/17,
448,180.166.0.0/17,
449,201.149.0.0/22,
450,182.253.191.0/24,
451,114.4.227.0/24,
452,162.243.160.0/20,
453,2.224.0.0/13,
454,190.64.64.0/20,
455,162.14.16.0/22,
456,186.226.32.0/20,
457,197.247.192.0/18,
458,189.34.48.0/20,
459,220.120.0.0/13,
460,120.31.136.0/21,
461,167.71.32.0/20,
462,89.235.201.0/24,
463,195.114.144.0/20,
464,95.169.4.0/22,
465,92.222.0.0/16,
466,190.226.244.0/24,
467,124.105.64.0/19,
468,201.149.13.0/24,
469,68.183.144.0/20,
470,46.101.0.0/18,
471,123.206.218.0/23,
472,125.40.0.0/13,
473,220.184.0.0/13,
474,49.233.176.0/20,
475,61.181.0.0/16,
476,49.234.48.0/20,
477,167.114.224.0/19,
478,185.164.136.0/22,
479,180.76.172.0/23,
480,182.112.0.0/12,
481,197.156.65.0/24,
482,172.81.208.0/20,
483,171.208.0.0/12,
484,171.224.178.0/24,
485,115.159.200.0/23,
486,190.146.87.0/24,
487,212.83.160.0/19,
488,212.47.224.0/19,
489,94.102.51.0/24,
490,185.247.224.0/24,
491,178.20.48.0/21,
492,18.27.0.0/16,
493,193.239.232.0/24,
494,185.38.175.0/24,
495,51.81.128.0/17,
496,85.93.192.0/19,
497,198.96.155.0/24,
498,91.250.242.0/24,
499,79.137.0.0/17,
500,188.213.49.0/24,
501,191.232.0.0/13,
502,200.54.160.0/20,
503,129.211.160.0/20,
504,222.86.0.0/15,
505,103.19.110.0/24,
506,85.48.0.0/12,
507,91.103.248.0/24,
508,173.249.20.0/23,
509,91.134.0.0/16,
510,120.239.0.0/16,
511,221.122.112.0/20,
512,190.12.88.0/22,
513,190.151.0.0/17,
514,116.255.128.0/17,
515,190.145.64.0/19,
516,1.208.0.0/12,
517,78.20.0.0/14,
518,171.4.128.0/17,
519,83.48.0.0/16,
520,195.158.0.0/19,
521,58.186.65.0/24,
522,91.72.160.0/19,
523,159.65.144.0/20,
524,139.199.170.0/23,
525,168.128.70.0/24,
526,212.129.0.0/18,
527,178.62.64.0/18,
528,176.248.0.0/13,
529,167.99.128.0/20,
530,118.27.0.0/17,
531,190.202.124.0/22,
532,35.208.0.0/15,
533,182.61.42.0/23,
534,122.224.0.0/12,
535,49.233.128.0/20,
536,45.40.252.0/22,
537,120.92.144.0/21,
538,159.89.48.0/21,
539,87.110.0.0/16,
540,31.186.48.0/24,
541,45.129.36.0/24,
542,151.49.0.0/16,
543,182.18.144.0/24,
544,49.234.192.0/20,
545,134.175.16.0/20,
546,152.136.184.0/22,
547,106.12.36.0/23,
548,111.230.0.0/15,
549,138.197.144.0/20,
550,177.182.0.0/16,
551,148.70.16.0/20,
552,154.8.224.0/20,
553,186.10.125.0/24,
554,206.189.32.0/20,
555,150.95.128.0/17,
556,118.89.224.0/21,
557,60.176.0.0/12,
558,167.114.0.0/17,
559,91.229.233.0/24,
560,194.87.98.0/23,
561,104.40.0.0/13,
562,192.99.0.0/16,
563,182.56.0.0/17,
564,138.197.128.0/20,
565,220.72.0.0/13,
566,73.0.0.0/8,
567,212.95.128.0/19,
568,91.121.0.0/16,
569,119.29.204.0/23,
570,149.129.48.0/20,
571,129.28.176.0/20,
572,119.29.52.0/23,
573,95.167.0.0/16,
574,2.57.122.0/24,
575,123.30.236.0/24,
576,197.211.9.0/24,
577,93.39.0.0/16,
578,40.64.0.0/10,
579,121.201.0.0/18,
580,103.87.212.0/24,
581,191.34.160.0/20,
582,125.212.200.0/22,
583,35.236.0.0/14,
584,79.44.0.0/15,
585,185.100.87.0/24,
586,181.223.64.0/19,
587,220.171.0.0/17,
588,83.16.0.0/13,
589,122.152.204.0/22,
590,50.68.200.0/22,
591,164.68.96.0/23,
592,106.75.32.0/19,
593,199.115.228.0/22,
594,152.136.172.0/22,
595,192.81.208.0/21,
596,78.192.0.0/11,
597,106.13.48.0/20,
598,51.79.0.0/17,
599,181.60.79.0/24,
600,152.136.164.0/22,
601,119.29.154.0/23,
602,185.171.8.0/22,
603,49.233.80.0/20,
604,163.44.196.0/22,
605,112.192.0.0/14,
606,106.52.48.0/20,
607,43.225.67.0/24,
608,222.222.0.0/15,
609,103.236.115.0/24,
610,111.202.0.0/18,
611,112.13.200.0/24,
612,157.230.240.0/20,
613,124.158.10.0/24,
614,114.216.0.0/13,
615,77.224.0.0/13,
616,221.208.0.0/14,
617,190.66.3.0/24,
618,67.216.192.0/20,
619,219.78.64.0/19,
620,37.144.232.0/21,
621,122.156.0.0/14,
622,83.209.0.0/16,
623,212.225.128.0/17,
624,183.96.0.0/13,
625,218.102.64.0/19,
626,80.178.96.0/19,
627,78.84.0.0/16,
628,176.37.0.0/16,
629,24.209.0.0/19,
630,24.51.120.0/21,
631,112.119.160.0/19,
632,62.12.81.0/24,
633,58.153.160.0/19,
634,219.79.96.0/19,
635,114.44.0.0/16,
636,27.8.0.0/13,
637,124.244.64.0/18,
638,37.140.0.0/17,
639,223.18.192.0/18,
640,46.37.64.0/19,
641,1.36.32.0/19,
642,168.70.32.0/19,
643,186.68.192.0/19,
644,190.78.32.0/19,
645,202.77.104.0/22,
646,77.47.128.0/17,
647,211.173.0.0/17,
648,134.175.144.0/20,
649,202.115.0.0/19,
650,150.136.0.0/16,
651,200.73.128.0/18,
652,202.137.8.0/22,
653,188.131.128.0/20,
654,106.52.128.0/20,
655,119.29.246.0/23,
656,118.24.8.0/22,
657,94.23.0.0/16,
658,97.88.64.0/18,
659,186.122.144.0/20,
660,185.74.4.0/22,
661,94.201.32.0/19,
662,201.163.0.0/21,
663,171.226.0.0/21,
664,120.144.0.0/13,
665,212.83.128.0/19,
666,45.116.112.0/24,
667,49.234.208.0/20,
668,111.172.0.0/14,
669,222.186.150.0/24,
670,61.12.67.0/24,
671,104.248.160.0/20,
672,118.25.180.0/22,
673,168.227.99.0/24,
674,159.65.16.0/20,
675,58.16.0.0/16,
676,159.65.192.0/20,
677,68.183.176.0/20,
678,54.223.128.0/17,
679,188.166.168.0/21,
680,112.78.183.0/24,
681,176.117.39.0/24,
682,139.59.56.0/21,
683,147.50.132.0/22,
684,61.155.168.0/23,
685,5.196.0.0/16,
686,159.203.160.0/20,
687,40.73.0.0/17,
688,200.69.77.0/24,
689,139.59.32.0/20,
690,157.230.112.0/20,
691,112.13.91.0/24,
692,200.118.57.0/24,
693,81.4.108.0/22,
694,142.93.192.0/20,
695,49.233.0.0/20,
696,157.230.32.0/20,
697,175.139.0.0/18,
698,200.69.232.0/22,
699,47.91.32.0/20,
700,167.99.160.0/20,
701,181.52.249.0/24,
702,104.236.64.0/18,
703,69.28.232.0/22,
704,60.28.0.0/15,
705,118.69.183.0/24,
706,222.91.0.0/16,
707,206.189.112.0/20,
708,59.145.221.0/24,
709,201.46.16.0/20,
710,120.131.12.0/23,
711,5.141.81.0/24,
712,201.157.192.0/18,
713,104.245.40.0/21,
714,188.166.0.0/18,
715,113.186.32.0/20,
716,217.107.0.0/18,
717,120.192.20.0/23,
718,27.72.96.0/20,
719,180.167.0.0/16,
720,121.52.154.0/24,
721,139.199.32.0/21,
722,68.183.96.0/20,
723,137.74.0.0/16,
724,177.33.0.0/19,
725,51.158.0.0/15,
726,107.175.92.0/22,
727,107.191.116.0/22,
728,84.232.128.0/17,
729,95.177.160.0/19,
730,14.21.40.0/21,
731,58.87.64.0/22,
732,198.98.48.0/20,
733,138.68.176.0/20,
734,43.225.151.0/24,
735,190.129.48.0/20,
736,176.106.132.0/23,
737,178.128.240.0/20,
738,152.32.0.0/12,
739,51.89.0.0/16,
740,3.120.0.0/14,
741,124.193.128.0/17,
742,210.245.34.0/24,
743,106.52.16.0/20,
744,159.65.112.0/20,
745,14.56.0.0/13,
746,111.40.217.0/24,
747,94.180.244.0/22,
748,200.196.224.0/19,
749,140.206.0.0/16,
750,66.98.112.0/20,
751,159.65.48.0/20,
752,103.53.53.0/24,
753,180.96.8.0/21,
754,117.50.0.0/19,
755,222.128.0.0/18,
756,165.227.112.0/20,
757,129.226.0.0/16,
758,179.252.64.0/18,
759,195.82.112.0/21,
760,61.105.0.0/16,
761,186.23.208.0/20,
762,159.203.96.0/20,
763,202.184.0.0/18,
764,103.87.28.0/24,
765,200.69.236.0/22,
766,206.81.0.0/20,
767,106.12.8.0/23,
768,181.199.58.0/24,
769,178.120.0.0/13,
770,212.237.0.0/18,
771,106.12.96.0/23,
772,95.181.188.0/22,
773,178.128.32.0/20,
774,180.76.168.0/23,
775,86.59.128.0/17,
776,106.12.82.0/23,
777,165.22.32.0/20,
778,120.52.128.0/17,
779,106.12.88.0/23,
780,176.122.128.0/19,
781,142.93.208.0/20,
782,203.172.64.0/19,
783,106.12.94.0/23,
784,123.206.16.0/20,
785,213.251.128.0/18,
786,167.99.64.0/20,
787,41.217.204.0/24,
788,139.227.0.0/16,
789,193.169.253.0/24,
790,93.137.0.0/16,
791,217.61.0.0/21,
792,75.130.120.0/21,
793,213.187.240.0/21,
794,171.247.100.0/22,
795,159.89.128.0/20,
796,167.71.160.0/20,
797,129.213.8.0/21,
798,45.14.224.0/24,
799,157.92.0.0/16,
800,101.6.128.0/17,
801,93.179.116.0/22,
802,211.144.64.0/20,
803,121.241.244.0/23,
804,106.12.68.0/23,
805,143.110.0.0/16,
806,188.165.0.0/16,
807,27.115.126.0/23,
808,223.197.128.0/19,
809,60.0.0.0/13,
810,151.80.0.0/16,
811,203.195.204.0/23,
812,162.192.0.0/12,
813,106.116.0.0/16,
814,60.168.0.0/13,
815,62.152.7.0/24,
816,121.168.0.0/13,
817,223.17.0.0/18,
818,37.115.0.0/16,
819,78.158.148.0/24,
820,203.218.0.0/19,
821,220.142.0.0/16,
822,5.53.128.0/17,
823,87.122.208.0/20,
824,222.96.0.0/13,
825,59.8.0.0/13,
826,82.102.119.0/24,
827,188.148.0.0/14,
828,111.242.0.0/16,
829,213.231.156.0/22,
830,60.246.160.0/19,
831,35.188.32.0/19,
832,114.24.0.0/16,
833,221.152.0.0/13,
834,60.50.0.0/18,
835,221.127.0.0/18,
836,220.143.0.0/16,
837,112.176.0.0/12,
838,211.159.188.0/23,
839,222.173.0.0/16,
840,104.244.79.0/24,
841,217.170.192.0/20,
842,144.168.160.0/21,
843,95.128.40.0/21,
844,112.35.27.0/24,
845,185.129.60.0/22,
846,49.235.32.0/20,
847,123.207.78.0/23,
848,221.124.96.0/19,
849,5.62.60.0/23,
850,93.76.48.0/20,
851,2.93.243.0/24,
852,203.218.160.0/19,
853,1.172.0.0/16,
854,93.103.64.0/19,
855,42.2.64.0/20,
856,77.53.0.0/16,
857,95.238.0.0/15,
858,58.153.128.0/19,
859,155.4.0.0/16,
860,175.208.0.0/13,
861,190.218.0.0/17,
862,85.255.160.0/20,
863,106.107.208.0/20,
864,113.52.192.0/24,
865,106.105.128.0/19,
866,27.2.240.0/20,
867,221.160.0.0/13,
868,42.2.208.0/20,
869,121.128.0.0/13,
870,177.209.128.0/18,
871,148.64.64.0/19,
872,81.163.88.0/21,
873,112.119.224.0/19,
874,117.239.176.0/21,
875,189.192.96.0/19,
876,196.22.192.0/19,
877,120.92.208.0/20,
878,58.87.120.0/21,
879,81.224.0.0/12,
880,184.178.48.0/22,
881,189.33.128.0/19,
882,223.16.128.0/18,
883,99.229.128.0/18,
884,186.64.104.0/21,
885,211.212.0.0/14,
886,219.78.160.0/19,
887,211.224.0.0/13,
888,182.96.0.0/12,
889,177.81.160.0/19,
890,209.107.216.0/24,
891,123.241.204.0/22,
892,109.87.18.0/24,
893,218.250.160.0/19,
894,112.119.192.0/19,
895,94.243.192.0/21,
896,75.82.0.0/15,
897,200.44.224.0/19,
898,149.34.16.0/21,
899,90.142.32.0/19,
900,174.95.0.0/16,
901,192.165.195.0/24,
902,190.74.160.0/19,
903,219.70.0.0/16,
904,189.68.0.0/15,
905,1.119.128.0/18,
906,212.170.0.0/16,
907,200.31.16.0/21,
908,139.99.128.0/17,
909,101.231.0.0/16,
910,210.211.112.0/21,
911,117.144.0.0/16,
912,103.141.142.0/23,
913,93.192.0.0/10,
914,121.121.0.0/16,
915,85.192.32.0/22,
916,49.233.64.0/20,
917,118.24.108.0/22,
918,180.76.52.0/23,
919,68.183.0.0/20,
920,34.68.0.0/14,
921,49.234.80.0/20,
922,139.59.160.0/20,
923,178.128.80.0/20,
924,134.209.224.0/20,
925,115.78.0.0/21,
926,139.59.128.0/19,
927,114.200.0.0/13,
928,113.254.0.0/18,
929,221.140.0.0/14,
930,193.112.120.0/21,
931,155.93.106.0/24,
932,119.254.0.0/20,
933,134.175.96.0/20,
934,49.233.192.0/20,
935,192.241.128.0/19,
936,14.112.0.0/12,
937,195.95.215.0/24,
938,199.192.124.0/22,
939,34.80.0.0/14,
940,123.140.0.0/14,
941,119.28.6.0/23,
942,13.232.0.0/14,
943,183.82.34.0/24,
944,119.123.0.0/17,
945,161.82.160.0/19,
946,198.100.144.0/20,
947,120.237.0.0/16,
948,203.130.224.0/19,
949,114.69.232.0/24,
950,111.231.120.0/22,
951,129.204.240.0/20,
952,117.176.0.0/16,
953,103.236.252.0/22,
954,106.12.92.0/23,
955,43.229.153.0/24,
956,222.240.0.0/13,
957,152.136.148.0/22,
958,116.97.0.0/17,
959,140.143.0.0/20,
960,181.128.0.0/12,
961,178.63.0.0/16,
962,217.219.244.0/22,
963,190.144.64.0/19,
964,91.241.59.0/24,
965,201.48.0.0/17,
966,61.218.0.0/16,
967,212.119.160.0/19,
968,203.195.210.0/23,
969,200.89.144.0/20,
970,61.133.224.0/19,
971,58.87.88.0/22,
972,71.72.0.0/15,
973,113.56.0.0/15,
974,189.39.120.0/21,
975,58.87.76.0/22,
976,5.8.192.0/22,
977,192.144.192.0/18,
978,185.68.76.0/22,
979,213.135.64.0/19,
980,182.71.111.0/24,
981,190.13.173.0/24,
982,165.227.0.0/20,
983,190.32.0.0/16,
984,189.7.80.0/21,
985,220.195.0.0/19,
986,113.53.29.0/24,
987,152.136.32.0/19,
988,116.74.4.0/22,
989,177.207.248.0/22,
990,111.231.116.0/22,
991,203.6.149.0/24,
992,179.235.64.0/19,
993,154.213.0.0/16,
994,152.136.212.0/22,
995,181.48.128.0/19,
996,134.175.176.0/20,
997,103.45.150.0/24,
998,118.25.52.0/22,
999,206.189.64.0/20,
1000,114.67.224.0/19,
1001,192.241.192.0/19,
1002,190.171.128.0/18,
1003,218.89.0.0/16,
1004,201.182.180.0/22,
1005,93.95.240.0/21,
1006,114.96.0.0/13,
1007,156.226.0.0/16,
1008,195.70.32.0/19,
1009,68.183.16.0/20,
1010,111.207.64.0/18,
1011,23.20.0.0/15,
1012,118.25.20.0/22,
1013,198.154.96.0/19,
1014,218.75.0.0/17,
1015,180.76.158.0/23,
1016,36.74.128.0/20,
1017,132.255.144.0/22,
1018,129.211.0.0/18,
1019,201.0.0.0/17,
1020,42.224.0.0/12,
1021,111.231.192.0/19,
1022,194.170.128.0/18,
1023,61.55.0.0/16,
1024,118.71.160.0/20,
1025,106.12.144.0/23,
1026,193.112.96.0/20,
1027,106.51.98.0/24,
1028,193.34.144.0/23,
1029,182.253.251.0/24,
1030,138.197.16.0/20,
1031,180.250.124.0/24,
1032,34.88.0.0/14,
1033,188.233.24.0/22,
1034,221.13.128.0/17,
1035,154.202.0.0/16,
1036,45.232.244.0/24,
1037,212.156.128.0/17,
1038,101.255.9.0/24,
1039,114.246.32.0/20,
1040,148.228.0.0/16,
1041,69.47.160.0/21,
1042,212.129.128.0/20,
1043,212.33.199.0/24,
1044,49.234.16.0/20,
1045,47.180.0.0/16,
1046,191.102.72.0/24,
1047,59.36.160.0/20,
1048,171.232.240.0/21,
1049,203.254.128.0/19,
1050,140.143.236.0/22,
1051,45.232.73.0/24,
1052,190.85.32.0/19,
1053,122.54.96.0/19,
1054,151.236.32.0/19,
1055,118.89.26.0/23,
1056,101.227.0.0/16,
1057,124.137.204.0/22,
1058,115.77.184.0/21,
1059,81.192.0.0/20,
1060,24.172.172.0/23,
1061,47.188.0.0/16,
1062,180.180.241.0/24,
1063,142.93.64.0/20,
1064,119.96.188.0/22,
1065,45.55.128.0/18,
1066,162.211.224.0/22,
1067,223.206.128.0/17,
1068,104.248.224.0/20,
1069,46.101.96.0/19,
1070,156.54.164.0/24,
