network_provider,asn,domain,route,type,server_info_id
6,6,1,6,isp,2210
6,6,1,6,isp,2328
6,6,1,6,isp,2337
6,6,1,6,isp,2341
6,6,1,6,isp,2395
6,6,1,6,isp,2401
6,6,1,6,isp,2408
6,6,1,6,isp,3826
6,6,1,6,isp,3827
6,6,1,6,isp,3828
6,6,1,6,isp,3832
6,6,1,6,isp,3833
6,6,1,6,isp,3834
6,6,1,6,isp,3837
6,6,1,6,isp,3838
6,6,1,6,isp,3839
6,6,1,6,isp,3847
6,6,1,6,isp,3848
6,6,1,6,isp,3849
6,6,1,6,isp,3860
6,6,1,6,isp,3861
6,6,1,6,isp,3862
6,6,1,6,isp,3893
6,6,1,6,isp,3894
6,6,1,6,isp,3895
6,6,1,6,isp,3897
6,6,1,6,isp,3898
6,6,1,6,isp,3899
6,6,1,6,isp,4003
6,6,1,6,isp,4004
6,6,1,6,isp,4005
6,6,1,6,isp,4029
6,6,1,6,isp,4030
6,6,1,6,isp,4031
6,6,1,6,isp,4104
6,6,1,6,isp,4105
6,6,1,6,isp,4106
6,6,1,6,isp,4130
6,6,1,6,isp,4131
6,6,1,6,isp,4132
6,6,1,6,isp,4133
6,6,1,6,isp,4158
6,6,1,6,isp,4159
6,6,1,6,isp,4160
6,6,1,6,isp,4161
6,6,1,6,isp,4163
6,6,1,6,isp,4178
6,6,1,6,isp,4184
6,6,1,6,isp,4194
6,6,1,6,isp,4197
6,6,1,6,isp,4198
6,6,1,6,isp,4199
6,6,1,6,isp,4210
6,6,1,6,isp,4211
6,6,1,6,isp,4232
6,6,1,6,isp,4233
6,6,1,6,isp,4234
6,6,1,6,isp,4246
6,6,1,6,isp,4257
6,6,1,6,isp,4289
6,6,1,6,isp,4290
6,6,1,6,isp,4291
6,6,1,6,isp,4306
6,6,1,6,isp,4307
6,6,1,6,isp,4308
6,6,1,6,isp,4312
6,6,1,6,isp,4313
6,6,1,6,isp,4314
6,6,1,6,isp,4315
6,6,1,6,isp,4333
6,6,1,6,isp,4334
6,6,1,6,isp,4335
6,6,1,6,isp,4353
6,6,1,6,isp,4358
6,6,1,6,isp,4359
6,6,1,6,isp,4360
6,6,1,6,isp,4380
6,6,1,6,isp,4381
6,6,1,6,isp,4382
6,6,1,6,isp,4383
6,6,1,6,isp,4396
6,6,1,6,isp,4397
6,6,1,6,isp,4398
6,6,1,6,isp,4414
6,6,1,6,isp,4439
6,6,1,6,isp,4443
6,6,1,6,isp,4444
6,6,1,6,isp,4445
6,6,1,6,isp,4459
6,6,1,6,isp,4463
6,6,1,6,isp,4468
6,6,1,6,isp,4495
6,6,1,6,isp,4498
6,6,1,6,isp,4500
6,6,1,6,isp,4501
6,6,1,6,isp,4519
6,6,1,6,isp,4540
6,6,1,6,isp,4544
6,6,1,6,isp,4545
6,6,1,6,isp,4546
6,6,1,6,isp,4552
6,6,1,6,isp,4553
6,6,1,6,isp,4554
6,6,1,6,isp,4558
6,6,1,6,isp,4591
6,6,1,6,isp,4592
6,6,1,6,isp,4593
6,6,1,6,isp,4604
6,6,1,6,isp,4605
6,6,1,6,isp,4606
6,6,1,6,isp,4607
6,6,1,6,isp,4620
6,6,1,6,isp,4621
6,6,1,6,isp,4622
6,6,1,6,isp,4628
6,6,1,6,isp,4689
6,6,1,6,isp,4759
6,6,1,6,isp,4760
6,6,1,6,isp,4761
6,6,1,6,isp,4769
6,6,1,6,isp,4781
6,6,1,6,isp,4806
6,6,1,6,isp,4812
6,6,1,6,isp,4820
6,6,1,6,isp,4821
6,6,1,6,isp,4822
6,6,1,6,isp,4823
6,6,1,6,isp,4828
6,6,1,6,isp,4829
6,6,1,6,isp,4830
6,6,1,6,isp,4851
6,6,1,6,isp,4852
6,6,1,6,isp,4853
6,6,1,6,isp,4858
6,6,1,6,isp,4865
6,6,1,6,isp,4866
6,6,1,6,isp,4867
6,6,1,6,isp,4868
6,6,1,6,isp,4884
6,6,1,6,isp,4885
6,6,1,6,isp,4886
6,6,1,6,isp,4890
6,6,1,6,isp,4891
6,6,1,6,isp,4892
6,6,1,6,isp,4898
6,6,1,6,isp,4899
6,6,1,6,isp,4900
6,6,1,6,isp,4933
6,6,1,6,isp,4934
6,6,1,6,isp,4935
6,6,1,6,isp,4969
6,6,1,6,isp,5016
6,6,1,6,isp,5017
6,6,1,6,isp,5018
6,6,1,6,isp,5050
6,6,1,6,isp,5052
6,6,1,6,isp,5059
6,6,1,6,isp,5060
6,6,1,6,isp,5061
6,6,1,6,isp,5068
6,6,1,6,isp,5070
6,6,1,6,isp,5071
6,6,1,6,isp,5072
6,6,1,6,isp,5077
6,6,1,6,isp,5078
6,6,1,6,isp,5079
6,6,1,6,isp,5080
6,6,1,6,isp,5096
6,6,1,6,isp,5103
6,6,1,6,isp,5116
6,6,1,6,isp,5117
6,6,1,6,isp,5118
6,6,1,6,isp,5134
6,6,1,6,isp,5149
6,6,1,6,isp,5150
6,6,1,6,isp,5151
6,6,1,6,isp,5156
6,6,1,6,isp,5181
6,6,1,6,isp,5182
6,6,1,6,isp,5183
6,6,1,6,isp,5184
6,6,1,6,isp,5192
6,6,1,6,isp,5193
6,6,1,6,isp,5194
6,6,1,6,isp,5236
6,6,1,6,isp,5237
6,6,1,6,isp,5238
6,6,1,6,isp,5239
6,6,1,6,isp,5257
6,6,1,6,isp,5258
6,6,1,6,isp,5259
6,6,1,6,isp,5263
6,6,1,6,isp,5264
6,6,1,6,isp,5265
6,6,1,6,isp,5270
6,6,1,6,isp,5278
6,6,1,6,isp,5280
6,6,1,6,isp,5314
6,6,1,6,isp,5331
6,6,1,6,isp,5332
6,6,1,6,isp,5333
6,6,1,6,isp,5346
6,6,1,6,isp,5347
6,6,1,6,isp,5348
6,6,1,6,isp,5349
6,6,1,6,isp,5362
6,6,1,6,isp,5374
6,6,1,6,isp,5386
6,6,1,6,isp,5387
6,6,1,6,isp,5388
6,6,1,6,isp,5415
6,6,1,6,isp,5419
6,6,1,6,isp,5420
6,6,1,6,isp,5421
6,6,1,6,isp,5442
6,6,1,6,isp,5446
6,6,1,6,isp,5540
6,6,1,6,isp,5541
6,6,1,6,isp,5542
6,6,1,6,isp,5565
6,6,1,6,isp,5566
6,6,1,6,isp,5567
6,6,1,6,isp,5568
6,6,1,6,isp,5592
6,6,1,6,isp,5593
6,6,1,6,isp,5594
6,6,1,6,isp,5605
6,6,1,6,isp,5615
6,6,1,6,isp,5616
6,6,1,6,isp,5617
6,6,1,6,isp,5647
6,6,1,6,isp,5648
6,6,1,6,isp,5649
6,6,1,6,isp,5658
6,6,1,6,isp,5690
6,6,1,6,isp,5702
6,6,1,6,isp,5703
6,6,1,6,isp,5704
6,6,1,6,isp,5705
6,6,1,6,isp,5707
6,6,1,6,isp,5708
6,6,1,6,isp,5709
6,6,1,6,isp,5736
6,6,1,6,isp,5737
6,6,1,6,isp,5738
6,6,1,6,isp,5749
6,6,1,6,isp,5750
6,6,1,6,isp,5751
6,6,1,6,isp,5769
6,6,1,6,isp,5770
6,6,1,6,isp,5771
6,6,1,6,isp,5780
6,6,1,6,isp,5781
6,6,1,6,isp,5782
6,6,1,6,isp,5793
6,6,1,6,isp,5794
6,6,1,6,isp,5795
6,6,1,6,isp,5803
6,6,1,6,isp,5823
6,6,1,6,isp,5830
6,6,1,6,isp,5839
6,6,1,6,isp,5840
6,6,1,6,isp,5841
6,6,1,6,isp,5848
6,6,1,6,isp,5854
6,6,1,6,isp,5855
6,6,1,6,isp,5856
6,6,1,6,isp,5860
6,6,1,6,isp,5861
6,6,1,6,isp,5862
6,6,1,6,isp,5865
6,6,1,6,isp,5872
6,6,1,6,isp,5873
6,6,1,6,isp,5874
6,6,1,6,isp,5881
6,6,1,6,isp,5882
6,6,1,6,isp,5883
6,6,1,6,isp,5913
6,6,1,6,isp,5917
6,6,1,6,isp,5956
6,6,1,6,isp,5971
6,6,1,6,isp,5991
6,6,1,6,isp,5992
6,6,1,6,isp,5993
6,6,1,6,isp,5994
6,6,1,6,isp,5995
6,6,1,6,isp,5996
6,6,1,6,isp,5997
6,6,1,6,isp,5998
6,6,1,6,isp,6004
6,6,1,6,isp,6005
6,6,1,6,isp,6006
6,6,1,6,isp,6008
6,6,1,6,isp,6009
6,6,1,6,isp,6010
6,6,1,6,isp,6011
6,6,1,6,isp,6017
6,6,1,6,isp,6018
6,6,1,6,isp,6019
6,6,1,6,isp,6020
6,6,1,6,isp,6021
6,6,1,6,isp,6022
6,6,1,6,isp,6023
6,6,1,6,isp,6051
6,6,1,6,isp,6062
6,6,1,6,isp,6063
6,6,1,6,isp,6064
6,6,1,6,isp,6072
6,6,1,6,isp,6079
6,6,1,6,isp,6082
6,6,1,6,isp,6083
6,6,1,6,isp,6084
6,6,1,6,isp,6085
6,6,1,6,isp,6087
6,6,1,6,isp,6088
6,6,1,6,isp,6089
6,6,1,6,isp,6091
6,6,1,6,isp,6092
6,6,1,6,isp,6093
6,6,1,6,isp,6094
6,6,1,6,isp,6095
6,6,1,6,isp,6132
6,6,1,6,isp,6133
6,6,1,6,isp,6134
6,6,1,6,isp,6164
6,6,1,6,isp,6165
6,6,1,6,isp,6170
6,6,1,6,isp,6174
6,6,1,6,isp,6175
6,6,1,6,isp,6176
6,6,1,6,isp,6177
6,6,1,6,isp,6178
6,6,1,6,isp,6179
6,6,1,6,isp,6180
6,6,1,6,isp,6189
6,6,1,6,isp,6190
6,6,1,6,isp,6191
6,6,1,6,isp,6192
6,6,1,6,isp,6200
6,6,1,6,isp,6202
6,6,1,6,isp,6203
6,6,1,6,isp,6204
6,6,1,6,isp,6212
6,6,1,6,isp,6213
6,6,1,6,isp,6214
6,6,1,6,isp,6241
6,6,1,6,isp,6242
6,6,1,6,isp,6243
6,6,1,6,isp,6244
6,6,1,6,isp,6259
6,6,1,6,isp,6260
6,6,1,6,isp,6261
6,6,1,6,isp,6290
6,6,1,6,isp,6291
6,6,1,6,isp,6295
6,6,1,6,isp,6315
6,6,1,6,isp,6316
6,6,1,6,isp,6317
6,6,1,6,isp,6324
6,6,1,6,isp,6325
6,6,1,6,isp,6326
6,6,1,6,isp,6337
6,6,1,6,isp,6369
6,6,1,6,isp,6370
6,6,1,6,isp,6380
6,6,1,6,isp,6384
6,6,1,6,isp,6390
6,6,1,6,isp,6395
6,6,1,6,isp,6396
6,6,1,6,isp,6397
6,6,1,6,isp,6408
6,6,1,6,isp,6409
6,6,1,6,isp,6410
6,6,1,6,isp,6424
6,6,1,6,isp,6455
6,6,1,6,isp,6457
6,6,1,6,isp,6458
6,6,1,6,isp,6459
6,6,1,6,isp,6467
6,6,1,6,isp,6468
6,6,1,6,isp,6469
6,6,1,6,isp,6487
6,6,1,6,isp,6488
6,6,1,6,isp,6489
6,6,1,6,isp,6498
6,6,1,6,isp,6506
6,6,1,6,isp,6507
6,6,1,6,isp,6508
6,6,1,6,isp,6512
6,6,1,6,isp,6521
6,6,1,6,isp,6522
6,6,1,6,isp,6523
6,6,1,6,isp,6583
6,6,1,6,isp,6584
6,6,1,6,isp,6585
6,6,1,6,isp,6590
6,6,1,6,isp,6591
6,6,1,6,isp,6592
6,6,1,6,isp,6597
6,6,1,6,isp,6598
6,6,1,6,isp,6599
6,6,1,6,isp,6604
6,6,1,6,isp,6631
6,6,1,6,isp,6636
6,6,1,6,isp,6637
6,6,1,6,isp,6638
6,6,1,6,isp,6672
6,6,1,6,isp,6673
6,6,1,6,isp,6674
6,6,1,6,isp,6678
6,6,1,6,isp,6686
6,6,1,6,isp,6687
6,6,1,6,isp,6688
6,6,1,6,isp,6689
6,6,1,6,isp,6711
6,6,1,6,isp,6726
6,6,1,6,isp,6734
6,6,1,6,isp,6772
6,6,1,6,isp,6773
6,6,1,6,isp,6774
6,6,1,6,isp,6781
6,6,1,6,isp,6787
6,6,1,6,isp,6792
6,6,1,6,isp,6793
6,6,1,6,isp,6794
6,6,1,6,isp,6799
6,6,1,6,isp,6800
6,6,1,6,isp,6801
6,6,1,6,isp,6802
6,6,1,6,isp,6803
6,6,1,6,isp,6804
6,6,1,6,isp,6805
6,6,1,6,isp,6833
6,6,1,6,isp,6856
6,6,1,6,isp,6861
6,6,1,6,isp,6862
6,6,1,6,isp,6863
6,6,1,6,isp,6899
6,6,1,6,isp,6948
6,6,1,6,isp,6949
6,6,1,6,isp,6950
6,6,1,6,isp,7052
6,6,1,6,isp,7053
6,6,1,6,isp,7054
6,6,1,6,isp,7066
6,6,1,6,isp,7069
6,6,1,6,isp,7070
6,6,1,6,isp,7071
6,6,1,6,isp,7072
6,6,1,6,isp,7073
6,6,1,6,isp,7074
6,6,1,6,isp,7083
6,6,1,6,isp,7088
6,6,1,6,isp,7093
6,6,1,6,isp,7094
6,6,1,6,isp,7095
6,6,1,6,isp,7096
6,6,1,6,isp,7097
6,6,1,6,isp,7098
6,6,1,6,isp,7099
6,6,1,6,isp,7100
6,6,1,6,isp,7152
6,6,1,6,isp,7172
6,6,1,6,isp,7173
6,6,1,6,isp,7174
6,6,1,6,isp,7215
6,6,1,6,isp,7216
6,6,1,6,isp,7217
6,6,1,6,isp,7218
6,6,1,6,isp,7235
6,6,1,6,isp,7236
6,6,1,6,isp,7237
6,6,1,6,isp,7261
6,6,1,6,isp,7303
6,6,1,6,isp,7322
6,6,1,6,isp,7323
6,6,1,6,isp,7324
6,6,1,6,isp,7325
6,6,1,6,isp,7329
6,6,1,6,isp,7342
6,6,1,6,isp,7343
6,6,1,6,isp,7344
6,6,1,6,isp,7345
6,6,1,6,isp,7348
6,6,1,6,isp,7349
6,6,1,6,isp,7361
6,6,1,6,isp,7362
6,6,1,6,isp,7363
6,6,1,6,isp,7364
6,6,1,6,isp,7370
6,6,1,6,isp,7371
6,6,1,6,isp,7372
6,6,1,6,isp,7373
6,6,1,6,isp,7399
6,6,1,6,isp,7400
6,6,1,6,isp,7401
6,6,1,6,isp,7415
6,6,1,6,isp,7416
6,6,1,6,isp,7417
6,6,1,6,isp,7422
6,6,1,6,isp,7457
6,6,1,6,isp,7470
6,6,1,6,isp,7532
6,6,1,6,isp,7533
6,6,1,6,isp,7534
6,6,1,6,isp,7535
6,6,1,6,isp,7536
6,6,1,6,isp,7537
6,6,1,6,isp,7538
6,6,1,6,isp,7543
6,6,1,6,isp,7544
6,6,1,6,isp,7545
6,6,1,6,isp,7553
6,6,1,6,isp,7563
6,6,1,6,isp,7564
6,6,1,6,isp,7565
6,6,1,6,isp,7566
6,6,1,6,isp,7567
6,6,1,6,isp,7584
6,6,1,6,isp,7586
6,6,1,6,isp,7587
6,6,1,6,isp,7588
6,6,1,6,isp,7589
6,6,1,6,isp,7602
6,6,1,6,isp,7603
6,6,1,6,isp,7604
6,6,1,6,isp,7605
6,6,1,6,isp,7611
6,6,1,6,isp,7612
6,6,1,6,isp,7613
6,6,1,6,isp,7621
6,6,1,6,isp,7699
6,6,1,6,isp,7700
6,6,1,6,isp,7701
6,6,1,6,isp,7751
6,6,1,6,isp,7752
6,6,1,6,isp,7753
6,6,1,6,isp,7764
6,6,1,6,isp,7765
6,6,1,6,isp,7771
6,6,1,6,isp,7775
6,6,1,6,isp,7776
6,6,1,6,isp,7777
6,6,1,6,isp,7778
6,6,1,6,isp,7779
6,6,1,6,isp,7780
6,6,1,6,isp,7781
6,6,1,6,isp,7786
6,6,1,6,isp,7810
6,6,1,6,isp,7811
6,6,1,6,isp,7812
6,6,1,6,isp,7813
6,6,1,6,isp,7815
6,6,1,6,isp,7816
6,6,1,6,isp,7817
6,6,1,6,isp,7822
6,6,1,6,isp,7830
6,6,1,6,isp,7857
6,6,1,6,isp,7858
6,6,1,6,isp,7859
6,6,1,6,isp,7878
6,6,1,6,isp,7901
6,6,1,6,isp,7902
6,6,1,6,isp,7903
6,6,1,6,isp,7925
6,6,1,6,isp,7926
6,6,1,6,isp,7927
6,6,1,6,isp,7931
6,6,1,6,isp,7936
6,6,1,6,isp,7937
6,6,1,6,isp,7938
6,6,1,6,isp,7943
6,6,1,6,isp,7944
6,6,1,6,isp,7945
6,6,1,6,isp,7974
6,6,1,6,isp,7975
6,6,1,6,isp,7996
6,6,1,6,isp,7997
6,6,1,6,isp,7998
6,6,1,6,isp,7999
6,6,1,6,isp,8003
6,6,1,6,isp,8012
6,6,1,6,isp,8013
6,6,1,6,isp,8014
6,6,1,6,isp,8040
6,6,1,6,isp,8041
6,6,1,6,isp,8042
6,6,1,6,isp,8049
6,6,1,6,isp,8055
6,6,1,6,isp,8056
6,6,1,6,isp,8057
6,6,1,6,isp,8058
6,6,1,6,isp,8089
6,6,1,6,isp,8090
6,6,1,6,isp,8091
6,6,1,6,isp,8100
6,6,1,6,isp,8116
6,6,1,6,isp,8119
6,6,1,6,isp,8120
6,6,1,6,isp,8121
6,6,1,6,isp,8125
6,6,1,6,isp,8126
6,6,1,6,isp,8127
6,6,1,6,isp,8128
6,6,1,6,isp,8130
6,6,1,6,isp,8137
6,6,1,6,isp,8138
6,6,1,6,isp,8139
6,6,1,6,isp,8187
6,6,1,6,isp,8201
6,6,1,6,isp,8219
6,6,1,6,isp,8232
6,6,1,6,isp,8233
6,6,1,6,isp,8234
6,6,1,6,isp,8235
6,6,1,6,isp,8236
6,6,1,6,isp,8237
6,6,1,6,isp,8238
6,6,1,6,isp,8259
6,6,1,6,isp,8260
6,6,1,6,isp,8261
6,6,1,6,isp,8269
6,6,1,6,isp,8270
6,6,1,6,isp,8271
6,6,1,6,isp,8280
6,6,1,6,isp,8281
6,6,1,6,isp,8282
6,6,1,6,isp,8283
6,6,1,6,isp,8286
6,6,1,6,isp,8287
6,6,1,6,isp,8288
6,6,1,6,isp,8308
6,6,1,6,isp,8313
6,6,1,6,isp,8335
6,6,1,6,isp,8350
6,6,1,6,isp,8351
6,6,1,6,isp,8352
6,6,1,6,isp,8353
6,6,1,6,isp,8374
6,6,1,6,isp,8375
6,6,1,6,isp,8376
6,6,1,6,isp,8388
6,6,1,6,isp,8389
6,6,1,6,isp,8390
6,6,1,6,isp,8395
6,6,1,6,isp,8396
6,6,1,6,isp,8397
6,6,1,6,isp,8424
6,6,1,6,isp,8427
6,6,1,6,isp,8436
6,6,1,6,isp,8437
6,6,1,6,isp,8438
6,6,1,6,isp,8439
6,6,1,6,isp,8444
6,6,1,6,isp,8449
6,6,1,6,isp,8450
6,6,1,6,isp,8451
6,6,1,6,isp,8452
6,6,1,6,isp,8456
6,6,1,6,isp,8466
6,6,1,6,isp,8489
6,6,1,6,isp,8554
6,6,1,6,isp,8560
6,6,1,6,isp,8561
6,6,1,6,isp,8562
6,6,1,6,isp,8603
6,6,1,6,isp,8610
6,6,1,6,isp,8611
6,6,1,6,isp,8612
6,6,1,6,isp,8614
6,6,1,6,isp,8616
6,6,1,6,isp,8635
6,6,1,6,isp,8636
6,6,1,6,isp,8637
6,6,1,6,isp,8659
6,6,1,6,isp,8660
6,6,1,6,isp,8661
6,6,1,6,isp,8663
6,6,1,6,isp,8664
6,6,1,6,isp,8665
6,6,1,6,isp,8682
6,6,1,6,isp,8691
6,6,1,6,isp,8707
