domain_id,domain_name,
1,None,
2,telefonica.com,
3,sas.com,
4,tim.it,
5,tencent.com,
6,1und1.de,
7,chinamobile.com,
8,chinatelecom-h.com,
9,chinaunicom.cn,
10,digitalocean.com,
11,microsoft.com,
12,convergeict.com,
13,cnnic.cn,
14,kbtelecom.net,
15,airtel.in,
16,comcast.com,
17,myloc.de,
18,nforce.com,
19,linode.com,
20,dg-net.pl,
21, None,
22,ovh.com,
23,telefonica.com.br,
24,apex.dp.ua,
25,kccl.tv,
26,meo.pt,
27,serveroffer.net,
28,godaddy.com,
29,rogers.com,
30,powerline.hk,
31,telmexla.net.co,
32,ukfast.co.uk,
33,worldstream.nl,
34,nxt-telecom.com,
35,telmexchile.cl,
36,cattelecom.com,
37, wikipedia.org,
38,interconnects.us,
39,unifique.com.br,
40,online.net,
41,telkom.co.id,
42,spectrum.com,
43,rmutsv.ac.th,
44,uplus.co.kr,
45,on.net,
46,alibabagroup.com,
47,sibset.ru,
48,it7.net,
49,viettel.com.vn,
50,kt.com,
51,hkt.com,
52,fullshop.ro,
53,kaspnet.ru,
54,mtn.co.za,
55,colt.net,
56,bsnl.in,
57,claro.com.gt,
58,he.net,
59,telefonica.com.ar,
60,21vbluecloud.com,
61,tele-asia.net,
62,chinaunicom.com,
63,avantel.ru,
64,31173.se,
65,zwiebelfreunde.de,
66,surf.nl,
67,sprint.pl,
68,frantech.ca,
69,feralhosting.com,
70,emeraldonion.org,
71,netcup.eu,
72,ip-only.se,
73,m247.com,
74,dfri.se,
75,cmctelecom.vn,
76,maxnet.ua,
77,calyxinstitute.org,
78,mychinaunicom.com,
79,portal.eun.eg,
80,totalplay.com.mx,
81,maxtechgroup.in,
82,satnet.net,
83,brutele.be,
84,wiland.ru,
85,rnp.br,
86,libertyglobal.com,
87,cht.com.tw,
88,lpnet.com.br,
89,ht.hr,
90,giganet.hu,
91,shivanshinfotech.in,
92,hkbn.net,
93,frontier.com,
94,google.com,
95, tencent.com,
96,nexttelecom.net.br,
97,telecom.com.ar,
98,brasilnet.net.br,
99,megafon.com,
100,infotelecom.al,
101,ultranet.biz,
102,weservit.nl,
103,algerietelecom.dz,
104,mustanet.com.br,
105,actcorp.in,
106,railtelindia.com,
107,mts.ru,
108,syriantelecom.com.sy,
109,aruba.it,
110,ipn.mx,
111,rt.ru,
112, claro.com.do,
113,colocrossing.com,
114,iam.ma,
115,coprel.com.br,
116,vodafone.it,
117,tm.com.my,
118,witel.it,
119,quadranet.com,
120,ati.tn,
121,chizhou.gov.cn,
122,hgc.com.hk,
123,cincinnatibell.com,
124,halik.com.ua,
125,m1.com.sg,
126,claro.com.ar,
127,primetel.com.cy,
128,comhem.se,
129,oracle.com,
130,evolunet.com.br,
131,telstra.com.au,
132,netfi.com.br,
133,arm.in.ua,
134,vnptcorp.com,
135,telsur.cl,
136,claro.com.br,
137,telekom.com,
138,optus.net.au,
139,etisalat.com,
140,ertelecom.ru,
141,rcn.com,
142,bloomberg.com,
143,cableonda.com,
144,telenor.no,
145,bredband2.com,
146,pokrov.net,
147,orange.com,
148,cogentco.com,
149,telus.com,
150,serverius.net,
151,tigo.com.co,
152,veon.com,
153,oi.net.br,
154,orange.pl,
155,hadara.ps,
156,era-llc.com,
157,fastweb.it,
158,uznet.net,
159,antel.com.uy,
160,jastel.co.th,
161,pan.org.mx,
162,masmovil.es,
163,axtel.mx,
164,optimum.com,
165,wtthk.com.hk,
166,linknet.co.id,
167,aniknetwork.net,
168,netcom-r.ru,
169,345000.ru,
170,chinamobileltd.com,
171,wdstelecom.com.br,
172,nttpc.co.jp,
173,contato.net,
174,alticefrance.com,
175,cnt.gob.ec,
176,preciousnetcom.in,
177,globalconnect.dk,
178,cas.cn,
179,berca.co.id,
180,megacable.com.mx,
181,biznetnetworks.com,
182,indosatooredoo.com,
183,concordia.psi.br,
184,orange.ma,
185,infonet.ee,
186,datagroup.ua,
187,servicoopsa.com.ar,
188,pldt.com,
189,clouvider.co.uk,
190,ethiotelecom.et,
191,ipvolume.net,
192,flokinet.is,
193,ielo-liazo.com,
194,mit.edu,
195,as41281.net,
196,labitat.dk,
197,vo.lu,
198,uwaterloo.ca,
199,nav.ro,
200,parfumurifemei.com,
201,netciti.co.id,
202,orange.es,
203,colmena.am,
204,contabo.de,
205,optical.pe,
206,entel.cl,
207,telenet.be,
208,fpt.com.vn,
209,du.ae,
210,ntt.com,
211,sky.com,
212,gmo.jp,
213,cantv.com.ve,
214,tet.lv,
215,aknet.kg,
216,windtre.it,
217,ctrls.in,
218,mtw.ru,
219,mtnl.net.in,
220,digitalattackmap.com,
221,colorhost.de,
222,zuku.co.ke,
223,gd.gov.cn,
224,basnetbd.com,
225,viettelidc.com.vn,
226,shaw.ca,
227,sky-internet.es,
228,hsp.net.id,
229,vortexnetsol.com,
230,vodafone.es,
231,telefonica.co,
232,a3.se,
233,ptvtelecom.com,
234,partner.co.il,
235,lanet.ua,
236,cablebahamas.com,
237,is74.ru,
238,uran.net.ua,
239,alestra.mx,
240,rainbowisp.in,
241,tatateleservices.com,
242,redesdeloeste.com,
243,sinnet.com.cn,
244,netintel.ru,
245,csloxinfo.com,
246,aztecacomunicaciones.com,
247,iplan.com.ar,
248,cogecopeer1.com,
249,americanet.com.br,
250,usetelecom.com.br,
251,rtcomm.ru,
252,pern.edu.pk,
253,ramnode.com,
254,digiromania.ro,
255,stcs.com.sa,
256,nextonline.com.bd,
257,entel.bo,
258,netbynet.ru,
259,mcnc.org,
260,amazon.com,
261,raagavcom.com,
262,telecentro.com.ar,
263,time.com.my,
264,telconet.net,
265,beltelecom.by,
266,telekom.hu,
267,layer3.ng,
268,midiko.pl,
269,arubacloud.com,
270,cloudvps.nl,
271,spectraip.net,
272,uba.ar,
273,tatacommunications.com,
274,css.edu,
275,att.com,
276,kyivstar.net,
277,a1.bg,
278,1und1.net,
279,rimex-ltd.com,
280,ctm.net,
281,servetheworld.net,
282,servermania.com,
283,aquaray.com,
284,zencurity.com,
285,avast.com,
