date_1
'2020-09-06 00:01:45.425'
'2020-09-06 00:01:45.674'
'2020-09-06 00:01:47.577'
'2020-09-06 00:02:53.853'
'2020-09-06 00:03:31.737'
'2020-09-06 00:03:31.739'
'2020-09-06 00:03:31.974'
'2020-09-06 00:03:32.808'
'2020-09-06 00:04:08.075'
'2020-09-06 00:04:38.197'
'2020-09-06 00:05:26.348'
'2020-09-06 00:05:34.393'
'2020-09-06 00:06:10.301'
'2020-09-06 00:06:10.494'
'2020-09-06 00:06:13.012'
'2020-09-06 00:06:36.570'
'2020-09-06 00:07:30.045'
'2020-09-06 00:07:30.682'
'2020-09-06 00:07:32.782'
'2020-09-06 00:11:33.133'
'2020-09-06 00:12:09.941'
'2020-09-06 00:12:10.513'
'2020-09-06 00:12:11.734'
'2020-09-06 00:15:29.046'
'2020-09-06 00:15:29.083'
'2020-09-06 00:15:30.885'
'2020-09-06 00:16:00.686'
'2020-09-06 00:16:01.227'
'2020-09-06 00:16:02.603'
'2020-09-06 00:21:01.800'
'2020-09-06 00:21:27.764'
'2020-09-06 00:21:27.944'
'2020-09-06 00:21:29.553'
'2020-09-06 00:23:21.089'
'2020-09-06 00:23:21.366'
'2020-09-06 00:23:23.797'
'2020-09-06 00:24:03.465'
'2020-09-06 00:27:33.850'
'2020-09-06 00:27:37.327'
'2020-09-06 00:27:37.928'
'2020-09-06 00:27:39.261'
'2020-09-06 00:33:36.548'
'2020-09-06 00:36:41.011'
'2020-09-06 00:37:27.568'
'2020-09-06 00:37:27.755'
'2020-09-06 00:37:30.285'
'2020-09-06 00:39:32.026'
'2020-09-06 00:42:54.405'
'2020-09-06 00:43:02.492'
'2020-09-06 00:48:10.257'
'2020-09-06 00:48:11.043'
'2020-09-06 00:48:11.947'
'2020-09-06 00:49:35.050'
'2020-09-06 00:49:35.242'
'2020-09-06 00:49:36.924'
'2020-09-06 00:53:48.517'
'2020-09-06 00:53:48.899'
'2020-09-06 00:53:50.144'
'2020-09-06 00:55:36.480'
'2020-09-06 00:55:37.151'
'2020-09-06 00:55:38.242'
'2020-09-06 00:59:09.272'
'2020-09-06 00:59:09.539'
'2020-09-06 00:59:10.889'
'2020-09-06 01:00:09.748'
'2020-09-06 01:00:57.611'
'2020-09-06 01:00:57.613'
'2020-09-06 01:00:57.879'
'2020-09-06 01:00:59.451'
'2020-09-06 01:04:46.273'
'2020-09-06 01:06:40.545'
'2020-09-06 01:06:48.582'
'2020-09-06 01:07:11.983'
'2020-09-06 01:07:12.652'
'2020-09-06 01:07:14.704'
'2020-09-06 01:07:14.885'
'2020-09-06 01:08:08.028'
'2020-09-06 01:08:08.767'
'2020-09-06 01:08:10.032'
'2020-09-06 01:09:34.968'
'2020-09-06 01:10:59.157'
'2020-09-06 01:12:32.320'
'2020-09-06 01:12:32.535'
'2020-09-06 01:13:08.626'
'2020-09-06 01:14:10.322'
'2020-09-06 01:14:10.810'
'2020-09-06 01:14:12.008'
'2020-09-06 01:15:32.364'
'2020-09-06 01:15:32.365'
'2020-09-06 01:15:32.981'
'2020-09-06 01:15:33.980'
'2020-09-06 01:17:29.375'
'2020-09-06 01:17:29.397'
'2020-09-06 01:17:31.442'
'2020-09-06 01:17:42.670'
'2020-09-06 01:17:43.465'
'2020-09-06 01:17:44.396'
'2020-09-06 01:19:10.596'
'2020-09-06 01:19:10.865'
'2020-09-06 01:19:12.472'
'2020-09-06 01:20:19.031'
'2020-09-06 01:25:59.263'
'2020-09-06 01:25:59.612'
