latitude, longitude,server_info_id
34.7725,113.7266,1
34.7725,113.7266,2
34.7725,113.7266,3
-1.9998,-77.4966,4
35.8428,129.2117,5
35.8428,129.2117,6
35.8428,129.2117,7
35.8428,129.2117,8
48.8637,2.2769,9
38.0812,13.2895,10
31.0449,121.4012,11
34.7725,113.7266,12
34.7725,113.7266,13
34.7725,113.7266,14
34.7725,113.7266,15
51.2993,9.491,16
34.7725,113.7266,17
34.7725,113.7266,18
34.7725,113.7266,19
34.7725,113.7266,20
34.7725,113.7266,21
34.7725,113.7266,22
34.7725,113.7266,23
30.6667,104.0667,24
30.6667,104.0667,25
30.6667,104.0667,26
34.7725,113.7266,27
34.7725,113.7266,28
34.7725,113.7266,29
31.0449,121.4012,30
31.0449,121.4012,31
31.0449,121.4012,32
31.0449,121.4012,33
51.2993,9.491,34
51.2993,9.491,35
51.2993,9.491,36
31.0449,121.4012,37
34.5997,119.1594,38
34.5997,119.1594,39
34.5997,119.1594,40
34.5997,119.1594,41
31.0449,121.4012,42
34.5997,119.1594,43
31.0449,121.4012,44
31.0449,121.4012,45
31.0449,121.4012,46
34.5997,119.1594,47
34.7725,113.7266,48
43.6547,-79.3623,49
37.5985,126.9783,50
37.5985,126.9783,51
37.5985,126.9783,52
34.5997,119.1594,53
34.5997,119.1594,54
34.5997,119.1594,55
34.7725,113.7266,56
34.7725,113.7266,57
34.7725,113.7266,58
14.5501,121.036,59
14.5501,121.036,60
14.5501,121.036,61
34.5997,119.1594,62
34.5997,119.1594,63
34.5997,119.1594,64
34.7725,113.7266,65
22.6148,120.3139,66
22.6148,120.3139,67
22.6148,120.3139,68
22.6148,120.3139,69
34.7725,113.7266,70
13.0878,80.2785,71
38.6438,-77.3451,72
51.2993,9.491,73
51.2993,9.491,74
51.2993,9.491,75
51.2993,9.491,76
34.7725,113.7266,77
34.7725,113.7266,78
34.7725,113.7266,79
9,-80,80
34.5997,119.1594,81
35.685,139.7514,82
35.685,139.7514,83
34.5997,119.1594,84
13.0878,80.2785,85
13.0878,80.2785,86
13.0878,80.2785,87
36.0986,120.3719,88
36.0986,120.3719,89
36.0986,120.3719,90
36.0986,120.3719,91
31.0449,121.4012,92
31.0449,121.4012,93
31.0449,121.4012,94
34.7725,113.7266,95
34.7725,113.7266,96
34.7725,113.7266,97
34.7725,113.7266,98
34.7725,113.7266,99
34.7725,113.7266,100
34.7725,113.7266,101
50.925,19.9156,102
50.925,19.9156,103
50.925,19.9156,104
31.0449,121.4012,105
34.7725,113.7266,106
34.7725,113.7266,107
34.7725,113.7266,108
31.0449,121.4012,109
37.751,-97.822,110
45.4995,-73.5848,111
34.5997,119.1594,112
34.7725,113.7266,113
34.7725,113.7266,114
34.7725,113.7266,115
1.314,103.6839,116
48.8582,2.3387,117
31.0449,121.4012,118
34.5997,119.1594,119
34.5997,119.1594,120
34.5997,119.1594,121
-23.627,-46.635,122
40.8364,-74.1403,123
34.5997,119.1594,124
34.5997,119.1594,125
34.5997,119.1594,126
50.4522,30.5287,127
50.4522,30.5287,128
50.4522,30.5287,129
34.7725,113.7266,130
50.4522,30.5287,131
48.8582,2.3387,132
31.0449,121.4012,133
31.0449,121.4012,134
31.0449,121.4012,135
31.0449,121.4012,136
29.5569,106.5531,137
34.7725,113.7266,138
34.7725,113.7266,139
34.7725,113.7266,140
10.516,76.2157,141
34.7725,113.7266,142
31.0449,121.4012,143
34.7725,113.7266,144
34.5997,119.1594,145
34.5997,119.1594,146
34.5997,119.1594,147
34.7725,113.7266,148
32.6333,-16.9,149
31.0449,121.4012,150
56,24,151
56,24,152
56,24,153
56,24,154
56,24,155
56,24,156
1.314,103.6839,157
1.2929,103.8547,158
34.7725,113.7266,159
43.2284,-79.9071,160
48.8582,2.3387,161
36.6092,127.2919,162
28.6327,77.2198,163
31.0449,121.4012,164
31.0449,121.4012,165
31.0449,121.4012,166
52.3006,4.9479,167
-29,24,168
4.4389,-75.2322,169
53.7032,-1.7843,170
50.1188,8.6843,171
51.9934,4.2158,172
41.1561,1.1069,173
-33.4513,-70.6653,174
51.5177,-0.6215,175
3.4372,-76.5225,176
12.9719,77.5937,177
7.0202,100.4718,178
34.7725,113.7266,179
48.8582,2.3387,180
48.8582,2.3387,181
1.314,103.6839,182
-6.175,106.8286,183
13.7442,100.4608,184
-4.616,55.4461,185
31.0449,121.4012,186
48.8582,2.3387,187
-27.1134,-48.9039,188
48.8582,2.3387,189
48.8582,2.3387,190
34.7725,113.7266,191
51.5177,-0.6215,192
51.5177,-0.6215,193
51.5177,-0.6215,194
34.5997,119.1594,195
-6.2352,106.9922,196
34.5997,119.1594,197
34.5997,119.1594,198
34.5997,119.1594,199
41.8483,-87.6517,200
32.926,-96.9666,201
7.5611,99.5417,202
34.7725,113.7266,203
48.8582,2.3387,204
51.4964,-0.1224,205
51.9934,4.2158,206
34.5997,119.1594,207
34.5997,119.1594,208
34.5997,119.1594,209
37.4951,127.0628,210
31.0449,121.4012,211
34.5997,119.1594,212
34.5997,119.1594,213
34.5997,119.1594,214
34.5997,119.1594,215
34.7725,113.7266,216
37.751,-97.822,217
-37.8061,145.0015,218
34.5997,119.1594,219
34.5997,119.1594,220
34.5997,119.1594,221
34.7725,113.7266,222
50.1188,8.6843,223
52.3759,4.8975,224
52.3759,4.8975,225
52.3759,4.8975,226
34.5997,119.1594,227
34.7725,113.7266,228
34.7725,113.7266,229
34.7725,113.7266,230
32.0617,118.7778,231
34.7725,113.7266,232
48.8582,2.3387,233
48.8582,2.3387,234
48.8582,2.3387,235
48.8582,2.3387,236
34.7725,113.7266,237
34.7725,113.7266,238
34.7725,113.7266,239
31.0449,121.4012,240
31.0449,121.4012,241
31.0449,121.4012,242
31.0449,121.4012,243
34.7725,113.7266,244
34.7725,113.7266,245
34.7725,113.7266,246
34.7725,113.7266,247
34.5997,119.1594,248
34.7725,113.7266,249
34.7725,113.7266,250
34.7725,113.7266,251
34.7725,113.7266,252
34.7725,113.7266,253
34.7725,113.7266,254
34.7725,113.7266,255
34.7725,113.7266,256
34.7725,113.7266,257
1.3667,103.8,258
30.6667,104.0667,259
31.8642,117.2865,260
34.7725,113.7266,261
34.5997,119.1594,262
34.7725,113.7266,263
34.7725,113.7266,264
34.7725,113.7266,265
34.7725,113.7266,266
35.8428,129.2117,267
34.7725,113.7266,268
55.0411,82.9344,269
55.0411,82.9344,270
55.0411,82.9344,271
34.7725,113.7266,272
1.314,103.6839,273
1.314,103.6839,274
1.314,103.6839,275
1.314,103.6839,276
34.7725,113.7266,277
34.7725,113.7266,278
34.7725,113.7266,279
34.7725,113.7266,280
34.0485,-118.2529,281
34.0485,-118.2529,282
34.0485,-118.2529,283
34.7725,113.7266,284
34.7725,113.7266,285
34.7725,113.7266,286
30.6667,104.0667,287
34.7725,113.7266,288
34.5997,119.1594,289
34.5997,119.1594,290
34.5997,119.1594,291
31.0449,121.4012,292
51.2993,9.491,293
31.0449,121.4012,294
31.0449,121.4012,295
31.0449,121.4012,296
34.5997,119.1594,297
21.0966,105.968,298
21.0966,105.968,299
21.0966,105.968,300
21.0966,105.968,301
34.7725,113.7266,302
34.7725,113.7266,303
34.7725,113.7266,304
34.5997,119.1594,305
34.5997,119.1594,306
34.5997,119.1594,307
31.0449,121.4012,308
31.0449,121.4012,309
31.0449,121.4012,310
1.314,103.6839,311
1.314,103.6839,312
